https://www.bricklink.com/catalogColors.asp?v=0&itemType=P&itemNo=legoID,legoName,material,mecabricksRGB,timeline
1,White,SOLID,#F4F4F4,1950 - 2024
103,Light Grey,SOLID,#E8E8E8,1997 - 2004
208,Light Stone Grey,SOLID,#E4E5D9,2004 - 2013
194,Medium Stone Grey,SOLID,#A3A2A4,2003 - 2024
2,Grey,SOLID,#A1A5A2,1954 - 2008
27,Dark Grey,SOLID,#545955,1961 - 2006
199,Dark Stone Grey,SOLID,#4D5156,2003 - 2024
26,Black,SOLID,#101010,1957 - 2024
154,New Dark Red,SOLID,#7C021F,1961 - 2024
21,Bright Red,SOLID,#D6001E,1949 - 2024
402,Reddish Orange,SOLID,#D14905,2024
101,Medium Red,SOLID,#F06D61,1997 - 1999
353,Vibrant Coral,SOLID,#FF6666,2019 - 2024
100,Light Red,SOLID,#F9B7A5,1997 - 2002
153,Sand Red,SOLID,#88605E,2001 - 2004
308,Dark Brown,SOLID,#2E0F06,2007 - 2024
423,Umber Brown,SOLID,#543F33,2024
25,Earth Orange,SOLID,#543324,1974 - 2006
192,Reddish Brown,SOLID,#5B2D0E,2003 - 2024
217,Brown,SOLID,#7C503A,2002 - 2006
370,Medium Brown,SOLID,#755945,2022 - 2024
138,Sand Yellow,SOLID,#8A7553,1961 - 2024
5,Brick Yellow,SOLID,#D5BC7C,1958 - 2024
283,Light Nougat,SOLID,#FAD1B1,2004 - 2024
371,Warm Tan,SOLID,#CCA373,2022 - 2024
18,Nougat,SOLID,#D09168,1979 - 2024
312,Medium Nougat,SOLID,#B17A49,2010 - 2024
422,Sienna Brown,SOLID,#935836,2024
19,Light Brown,SOLID,,1983 - 1987
12,Light Orange Brown,SOLID,#D86D2C,1982 - 2005
38,Dark Orange,SOLID,#91501C,1994 - 2024
216,Rust,SOLID,#B52C20,1979 - 2005
106,Bright Orange,SOLID,#F57D23,1993 - 2024
105,Bright Yellowish Orange,SOLID,#F58624,1950 - 2007
125,Light Orange,SOLID,#F9A777,1998 - 2004
191,Flame Yellowish Orange,SOLID,#FCB100,2003 - 2024
36,Light Yellowish Orange,SOLID,,2000
24,Bright Yellow,SOLID,#F8C718,1949 - 2024
3,Light Yellow,SOLID,#FFE383,1994 - 2005
226,Cool Yellow,SOLID,#FDF683,2004 - 2024
368,Vibrant Yellow,SOLID,#E6FF00,2022 - 2024
120,Light Yellowish Green,SOLID,#DEEA92,1992 - 2007
326,Spring Yellowish Green,SOLID,#E0FC9A,2012 - 2024
115,Medium Yellowish Green,SOLID,#B7D425,1998 - 2005
119,Bright Yellowish Green,SOLID,#94BC0E,1993 - 2024
330,Olive Green,SOLID,#808452,2012 - 2024
141,Earth Green,SOLID,#053515,1961 - 2024
28,Dark Green,SOLID,#157D26,1949 - 2024
37,Bright Green,SOLID,#1B9822,1950 - 2024
29,Medium Green,SOLID,#73DCA1,1950 - 2004
6,Light Green,SOLID,#A5DBB5,1992 - 2005
151,Sand Green,SOLID,#618365,1964 - 2024
107,Bright Bluish Green,SOLID,#069D9F,1998 - 2024
116,Medium Bluish Green,SOLID,#31B5CA,1998 - 2004
118,Light Bluish Green,SOLID,#9CD6CC,1998 - 2006
323,Aqua,SOLID,#D5F2EA,2011 - 2024
140,Earth Blue,SOLID,#0A2441,1961 - 2024
23,Bright Blue,SOLID,#2653A7,1950 - 2024
321,Dark Azur,SOLID,#078BC9,2011 - 2024
