Code,Name,Size (ml)
11110,Transparent White,35
11112,Zinc White,"35, 120"
11114,Titanium White,"35, 120, 200"
11116,Opaque White,"35, 120, 200"
11118,Zinc Titanium White,"35, 120"
11220,Burnt Ochre Light,"35, 120, 200"
11222,Naples Yellow Reddish,35
11224,Naples Yellow Deep,"35, 120"
11226,Naples Yellow Light,"35, 120"
11228,Chrome Yellow Hue Light,35
11230,Chrome Yellow Hue Medium,35
11232,Chrome Yellow Hue Deep,35
11234,Brilliant Yellow Light,"35, 120"
11236,Lemon Yellow,"35, 120, 200"
11238,Cadmium Yellow Lemon,"35, 120"
11240,Cadmium Yellow Mix,"35, 120"
11242,Cadmium Yellow Light,"35, 120"
11244,Cadmium Yellow Deep,35
11246,Brilliant Yellow,"35, 120"
11248,Indian Yellow,"35, 120, 200"
11300,Cadmium Orange,35
11302,Brilliant Orange,"35, 120"
11304,Poppy Red,"35, 120"
11306,Vermilion Red Light,"35, 120"
11308,Vermilion Red Deep,"35, 120"
11310,Cadmium Red Light,35
11312,Cadmium Red Mix,"35, 120, 200"
11314,Cadmium Red Deep,"35, 120"
11316,Madder Light,35
11318,Madder Red,"35, 120"
11320,Madder Ruby,35
11342,Alizarin Crimson Hue,"35, 120"
11344,Carmine Red,"35, 120"
11346,Ruby Red,"35, 120"
11348,Magenta,"35, 120"
11350,Cobalt Violet Hue,35
11352,Violet Dark,"35, 120"
11400,Indanthrene Blue,35
11402,Ultramarine Blue Deep,"35, 120, 200"
11404,Ultramarine Blue Light,"35, 120"
11406,Royal Blue,"35, 120"
11408,Cobalt Blue Deep,35
11410,Cobalt Blue Light,35
11412,Cobalt Blue Hue,"35, 120"
11414,Cobalt Cerulean Blue,35
11416,Indigo,"35, 120"
11418,Prussian Blue,"35, 120, 200"
11420,Phthalo Blue,35
11422,Cerulean Blue,"35, 120"
11424,Azure Blue,"35, 120"
11426,Cobalt Turquoise,35
11500,Phthalo Green,"35, 120"
11502,Chromium Oxide Green Brill.,35
11504,Emerald Green,35
11506,Schweinfurt Green Hue,35
11508,Permanent Green,35
11510,Permanent Yellowish-green,"35, 120"
11512,Olive Green,35
11514,Sap Green,"35, 120, 200"
11516,Chromium Oxide Green,35
11518,Green Earth,"35, 120"
11600,Raw Light Ochre,"35, 120, 200"
11602,Yellow Ochre,"35, 120"
11604,Transparent Ochre,35
11606,Golden Ochre,35
11608,Raw Sienna,"35, 120"
11610,Burnt Sienna,"35, 120"
11612,English Red,35
11614,Red Earth,35
11616,Caput Mortuum,35
11618,Transparent Red Brown,"35, 120"
11620,Agate Brown,35
11622,Raw Umber,"35, 120"
11624,Burnt Umber,"35, 120"
11626,Vandyke Brown,"35, 120, 200"
11700,Neutral Black,35
11702,Black Iron Oxide,"35, 120"
11704,Ivory Black,"35, 120, 200"
11706,Payne's Grey,35
11708,Warm Grey,35
11710,Cold Grey,35
11800,Silver,35
11802,Classic Gold,35
11804,Bronze,35
